,SecStruc,"('SecStruc', 'Front')","('SecStruc', 'Back')","('SecStruc', 'Front', 'Back')"
count,3.0,60.0,60.0,1200.0
mean,30536.333333333332,1526.8166666666666,1526.8166666666666,76.34083333333334
std,16326.226641001076,986.6184242004358,1023.1580803300302,68.06152835736823
min,14260.0,181.0,204.0,2.0
25%,22348.5,763.5,689.75,30.0
50%,30437.0,1217.0,1405.0,54.0
75%,38674.5,2004.0,1965.0,101.0
max,46912.0,4128.0,4780.0,432.0
