,N-CA-CB-CG--SIN,CA-CB-CG-OD1--SIN,CA-CB-CG-ND2--SIN,N-CA-CB-CG--COS,CA-CB-CG-OD1--COS,CA-CB-CG-ND2--COS
N-CA-CB-CG--SIN,1.0,0.1865328636026694,-0.18636016443350764,-0.20791406880796465,0.061379606428145335,-0.06442041664719027
CA-CB-CG-OD1--SIN,0.1865328636026694,1.0,-0.9997185706572681,-0.141892566532472,-0.1408523842941133,0.1392815181478419
CA-CB-CG-ND2--SIN,-0.18636016443350764,-0.9997185706572681,1.0,0.14296801154944094,0.14068290034123557,-0.1389166862889881
N-CA-CB-CG--COS,-0.20791406880796465,-0.141892566532472,0.14296801154944094,1.0,-0.03750138536853463,0.03882987060952648
CA-CB-CG-OD1--COS,0.061379606428145335,-0.1408523842941133,0.14068290034123557,-0.03750138536853463,1.0,-0.9994953808408075
CA-CB-CG-ND2--COS,-0.06442041664719027,0.1392815181478419,-0.1389166862889881,0.03882987060952648,-0.9994953808408075,1.0
