,SecStruc,"('SecStruc', 'Front')","('SecStruc', 'Back')","('SecStruc', 'Front', 'Back')"
count,3.0,60.0,60.0,1200.0
mean,78935.66666666667,3946.7833333333333,3946.7833333333333,197.33916666666667
std,64232.43854419147,3461.741371786928,3485.417355023723,217.89564679768932
min,12385.0,132.0,133.0,1.0
25%,48120.0,803.0,817.0,36.0
50%,83855.0,3311.0,3102.5,104.5
75%,112211.0,6363.75,6390.5,292.75
max,140567.0,12209.0,11551.0,1275.0
