,Label,Phi,Psi,SecStruc,Front,Back,N-CA-CB-CG--SIN,CA-CB-CG-CD1--SIN,CA-CB-CG-CD2--SIN,CB-CG-CD1-CE1--SIN,CB-CG-CD2-CE2--SIN,CG-CD1-CE1-CZ--SIN,CD1-CE1-CZ-CE2--SIN,CZ-CD1-CE1-CZ--SIN,CE1-CZ-OH--SIN,N-CA-CB-CG--COS,CA-CB-CG-CD1--COS,CA-CB-CG-CD2--COS,CB-CG-CD1-CE1--COS,CB-CG-CD2-CE2--COS,CG-CD1-CE1-CZ--COS,CD1-CE1-CZ-CE2--COS,CZ-CD1-CE1-CZ--COS,CE1-CZ-OH--COS
count,5179.0,5179.0,5179.0,5179.0,5179.0,5179.0,5179.0,5179.0,5179.0,5179.0,5179.0,5179.0,5179.0,5179.0,5179.0,5179.0,5179.0,5179.0,5179.0,5179.0,5179.0,5179.0,5179.0,5179.0
mean,2589.0,47.93334921606489,-88.45743553195622,0.7988028576945356,9.040162193473643,8.688743000579262,-0.3588574720017565,0.2565368078864364,-0.2567038997940182,-0.002159721499502144,0.0023637014023250866,-3.7403541998931665e-05,-0.0001826063020280922,-3.7403541998931665e-05,0.0005295791326876448,-0.09277600508757262,0.1528536146114616,-0.14875333754572856,-0.9993784298966372,-0.9993722185699234,0.9998870420017126,0.9999062797500073,0.9998870420017126,-0.9998130212795519
std,1495.192852667062,89.77688199037986,42.62474222322045,0.6509867985158894,6.115750459402637,5.978690330512214,0.6323636896882082,0.8851272737366348,0.884256003900734,0.03515229956150457,0.035316089615700985,0.015026250246964867,0.013685121156524059,0.015026250246964867,0.019325681028700203,0.6803651106126447,0.3571417796557425,0.36089194646521755,0.001626161628636645,0.0016114607423167917,0.00039657129973670596,0.0003898995155858046,0.00039657129973670596,0.000481910882734268
min,0.0,-179.52200000000005,-179.868,0.0,0.0,0.0,-0.999999833129059,-0.9999999187265504,-0.9999998946495904,-0.21309859640464268,-0.3190089338987275,-0.12401366920328978,-0.12979281402765394,-0.12401366920328978,-0.13969158500713366,-0.9999999450165562,-0.999945169365512,-0.999997985717988,-1.0,-1.0,0.9922805096598124,0.987713801166096,0.9922805096598124,-1.0
25%,1294.5,-39.76325,-118.36,0.0,3.0,3.0,-0.9157092387797368,-0.9184933158009726,-0.9858787845312735,-0.016850356425841418,-0.013630599341841397,-0.004870828162925977,-0.004637750802694334,-0.004870828162925977,-0.006562390885053031,-0.9810954359490224,-0.027300536558911764,-0.3510083055515183,-0.9999808053562416,-0.9999799857122762,0.9999329992428294,0.9999547322820765,0.9999329992428294,-0.9999965501335503
50%,2589.0,27.4483,-84.8746,1.0,9.0,9.0,-0.7014990865383826,0.9026363720785724,-0.9019682256406456,-0.0010297440766914468,0.001012290793268431,0.0001829838084164461,-0.00017652783561763344,0.0001829838084164461,0.000244346092848132,0.2649065490027223,0.14907801552563632,-0.14266175584984905,-0.9998796296430029,-0.999877726622636,0.9999887374127177,0.9999900536074948,0.9999887374127177,-0.9999746461900528
75%,3883.5,137.95049999999998,-63.18235,1.0,15.0,14.0,0.06417525611682129,0.9856366375321162,0.9169800176210088,0.014075615591598208,0.017469857068923084,0.004593812606788665,0.004148731723683128,0.004593812606788665,0.007679373227782781,0.46820743324103736,0.35473492020205666,0.038153234275220216,-0.9994821439126306,-0.9994719854743168,0.9999981751972449,0.9999982436467985,0.9999981751972449,-0.99985222992142
max,5178.0,179.866,179.97799999999995,2.0,19.0,19.0,0.999999996343068,0.9999999921043164,0.9999999390765166,0.3162617284804051,0.18393419512652714,0.1181032784042752,0.15627362856867932,0.1181032784042752,0.12207721911062358,0.9997446997358309,0.9999914243242948,0.999988544333814,-0.9486719765538488,-0.9477517080400316,0.9999999999969252,0.999999999993072,0.9999999999969252,-0.9901950621358372
