,N-CA-CB-CG--SIN,CA-CB-CG-CD1--SIN,CA-CB-CG-CD2--SIN,N-CA-CB-CG--COS,CA-CB-CG-CD1--COS,CA-CB-CG-CD2--COS
N-CA-CB-CG--SIN,1.0,0.617273204435986,0.48159021814565045,-0.7585719000411434,0.6239984113627989,-0.6806407690224241
CA-CB-CG-CD1--SIN,0.617273204435986,1.0,0.3347607259620339,-0.6136082880758256,0.6622645667601634,-0.9043354271142839
CA-CB-CG-CD2--SIN,0.48159021814565045,0.3347607259620339,1.0,-0.6503539073530495,0.9261165991890129,-0.7014898849178012
N-CA-CB-CG--COS,-0.7585719000411434,-0.6136082880758256,-0.6503539073530495,1.0,-0.758473555648176,0.7545800416193374
CA-CB-CG-CD1--COS,0.6239984113627989,0.6622645667601634,0.9261165991890129,-0.758473555648176,1.0,-0.9173793866020185
CA-CB-CG-CD2--COS,-0.6806407690224241,-0.9043354271142839,-0.7014898849178012,0.7545800416193374,-0.9173793866020185,1.0
