,Label,Phi,Psi,SecStruc,Front,Back,N-CA-CB-OG1--SIN,N-CA-CB-CG2--SIN,N-CA-CB-OG1--COS,N-CA-CB-CG2--COS
count,7643.0,7643.0,7643.0,7643.0,7643.0,7643.0,7643.0,7643.0,7643.0,7643.0
mean,3821.0,54.4094394587427,-93.93506238806744,0.8688996467355751,8.36281564830564,8.274499542064634,-0.002165953100716707,-0.007152605924734906,-0.012120094007391813,-0.037494110204061286
std,2206.488386554527,94.6312987919505,37.066091392836675,0.6109698407455002,6.07258839241784,6.016575072526159,0.7051016245110783,0.696318151131654,0.7090916351509127,0.716808711915027
min,0.0,-179.977,-179.75799999999995,0.0,0.0,0.0,-0.9999999799240568,-0.9999999799240568,-0.9999999935600096,-0.9999999760752292
25%,1910.5,-35.37005,-122.211,0.0,3.0,3.0,-0.710511537410045,-0.6857201610230705,-0.7199640940177281,-0.7669599927713353
50%,3821.0,82.8179,-93.3819,1.0,8.0,8.0,0.001932234181380516,-0.020995163411353605,-0.029546300812115883,-0.06230167763591934
75%,5731.5,143.28,-67.47399999999999,1.0,14.0,14.0,0.6938317181425661,0.6782689086621627,0.7042673527453457,0.678706992528603
max,7642.0,179.984,178.898,2.0,19.0,19.0,0.9999999918897968,0.9999999707053709,0.999999983354642,0.9999999695132312
