,Label,Phi,Psi,SecStruc,Front,Back,N-CA-CB-CG--SIN,CA-CB-CG-OD1--SIN,CA-CB-CG-ND2--SIN,N-CA-CB-CG--COS,CA-CB-CG-OD1--COS,CA-CB-CG-ND2--COS
count,6542.0,6542.0,6542.0,6542.0,6542.0,6542.0,6542.0,6542.0,6542.0,6542.0,6542.0,6542.0
mean,3270.5,39.06985227092936,-75.30095352644459,0.9948028125955365,8.618006725771934,8.387496178538672,0.018953597116657457,-0.01061438624233501,-0.00581014196644521,0.008624092928926417,0.007120666144743893,-0.009439791761465404
std,1888.6570625711804,81.24387066907748,56.70194191316981,0.7420601789768081,6.012019744707115,5.9977152199198045,0.7041081990211603,0.7033419765025097,0.7055164061379989,0.7098949540455624,0.7108442528810973,0.7087147495926045
min,0.0,-179.93400000000003,-179.426,0.0,0.0,0.0,-0.9999995209907524,-0.9999999105935728,-0.9999997375429188,-0.9999999372447494,-0.9999993095571172,-0.99999991568729
25%,1635.25,-29.404600000000002,-108.50875,0.0,3.0,3.0,-0.6809343971275348,-0.7154702683898947,-0.7164386538618851,-0.7038595669239455,-0.7107874665546806,-0.7203627048492207
50%,3270.5,25.99165,-81.3048,1.0,9.0,8.0,0.04193709538012028,-0.006928421615337465,-0.005693224237345555,0.020259631776469916,0.020980094443573384,-0.006195084228408405
75%,4905.75,116.74175,-61.9504,2.0,15.0,14.0,0.7206465231932959,0.6836175761813842,0.6942013575649254,0.7272565137624342,0.7172888972261892,0.6961598175535111
max,6541.0,179.94099999999997,179.96400000000003,2.0,19.0,19.0,0.9999999785823194,0.9999999636064362,0.9999999982951916,0.9999995516635216,0.9999999366599298,0.9999987946738704
