,SecStruc,"('SecStruc', 'Front')","('SecStruc', 'Back')","('SecStruc', 'Front', 'Back')"
count,3.0,60.0,60.0,1200.0
mean,76175.33333333333,3808.766666666667,3808.766666666667,190.43833333333333
std,45892.44012180366,2799.204889326499,2770.3921852125927,181.83072221209585
min,27740.0,387.0,433.0,3.0
25%,54757.5,1490.0,1536.75,65.0
50%,81775.0,3089.5,3164.5,127.5
75%,100393.0,5433.5,5275.25,262.25
max,119011.0,11898.0,11801.0,1086.0
