,N-CA-CB-CG--SIN,CA-CB-CG-CD--SIN,CB-CG-CD-OE1--SIN,CB-CG-CD-NE2--SIN,N-CA-CB-CG--COS,CA-CB-CG-CD--COS,CB-CG-CD-OE1--COS,CB-CG-CD-NE2--COS
N-CA-CB-CG--SIN,1.0,0.19476781325862938,0.09589420565617346,-0.09521380483005269,-0.43841133360717693,-0.06072696665461527,-0.02604420925539626,0.02498232037335428
CA-CB-CG-CD--SIN,0.19476781325862938,1.0,0.15760649044449562,-0.15790094137224148,-0.38350002255631566,-0.13426153858775572,0.019595481736004314,-0.019968375468607115
CB-CG-CD-OE1--SIN,0.09589420565617346,0.15760649044449562,1.0,-0.999606804955752,-0.12232060769064416,-0.007295646339217648,-0.037125660186399234,0.03731904771984726
CB-CG-CD-NE2--SIN,-0.09521380483005269,-0.15790094137224148,-0.999606804955752,1.0,0.12173457106239494,0.007915187127798496,0.036888326138581624,-0.03695815852490057
N-CA-CB-CG--COS,-0.43841133360717693,-0.38350002255631566,-0.12232060769064416,0.12173457106239494,1.0,-0.03299961904055739,0.007822756187423684,-0.007609597385179835
CA-CB-CG-CD--COS,-0.06072696665461527,-0.13426153858775572,-0.007295646339217648,0.007915187127798496,-0.03299961904055739,1.0,-0.024224230405491726,0.023998540314231726
CB-CG-CD-OE1--COS,-0.02604420925539626,0.019595481736004314,-0.037125660186399234,0.036888326138581624,0.007822756187423684,-0.024224230405491726,1.0,-0.9994571137683491
CB-CG-CD-NE2--COS,0.02498232037335428,-0.019968375468607115,0.03731904771984726,-0.03695815852490057,-0.007609597385179835,0.023998540314231726,-0.9994571137683491,1.0
