,SecStruc,"('SecStruc', 'Front')","('SecStruc', 'Back')","('SecStruc', 'Front', 'Back')"
count,3.0,60.0,60.0,1192.0
mean,18188.0,909.4,909.4,45.7751677852349
std,12066.405305640947,683.1031438112005,677.4474324468383,43.69578199748219
min,4821.0,61.0,55.0,1.0
25%,13144.0,305.5,311.0,13.0
50%,21467.0,784.5,813.0,29.0
75%,24871.5,1409.0,1422.75,69.0
max,28276.0,2636.0,2475.0,286.0
