,Label,Phi,Psi,SecStruc,Front,Back,N-CA-CB-CG--SIN,CA-CB-CG-CD--SIN,CB-CG-CD-NE--SIN,CG-CD-NE-CZ--SIN,CD-NE-CZ-NH1--SIN,CD-NE-CZ-NH2--SIN,N-CA-CB-CG--COS,CA-CB-CG-CD--COS,CB-CG-CD-NE--COS,CG-CD-NE-CZ--COS,CD-NE-CZ-NH1--COS,CD-NE-CZ-NH2--COS
count,5796.0,5796.0,5796.0,5796.0,5796.0,5796.0,5796.0,5796.0,5796.0,5796.0,5796.0,5796.0,5796.0,5796.0,5796.0,5796.0,5796.0,5796.0
mean,2897.5,35.77109556959979,-80.3967260250167,0.7030710835058661,8.498619737750172,8.655797101449275,0.008548065466475071,-0.005560527489803298,0.0009281388841235771,-0.009048743538405917,-0.010251473408109142,-0.0031483850794733746,-0.01267828696166704,-0.04740206680190244,-0.03007983753591007,-0.011675299610744571,0.5332862328678318,-0.6129397397256126
std,1673.3054114536294,86.32221360735184,41.807958861637196,0.6623076939007297,6.041487125548026,6.032273215053437,0.6986951257131956,0.702491102718518,0.6942345015864875,0.7078991875241735,0.5448280600025647,0.5903254990866957,0.7153767085448571,0.7102116196431825,0.719239323876443,0.7062811570642973,0.6471371993547929,0.5252794477207127
min,0.0,-179.87599999999995,-178.708,0.0,0.0,0.0,-0.9999999049918528,-0.9999999256229488,-0.9999999230604638,-0.9999999947953191,-0.9999999970871102,-0.9999999998864147,-0.9999999965004808,-0.9999999085197966,-0.9999999726495332,-0.9999998224233304,-0.9999999977322304,-0.9999999760752292
25%,1448.75,-40.222475,-106.69874999999999,0.0,3.0,3.0,-0.6817263993691318,-0.698474860226385,-0.6729204297204259,-0.7222885160540096,-0.40817312306413966,-0.564069461947526,-0.7450874053627901,-0.7625635196078365,-0.7539824372298009,-0.7077229376070617,0.28947069338143844,-0.9361717539051534
50%,2897.5,-9.096699999999998,-72.74,1.0,8.0,9.0,0.00244287321178807,-0.006959915598898395,-2.2640639352499708e-05,-0.022960198283686346,-0.009713542231921841,-0.000718745230059218,-0.021472859071336933,-0.08619250385122026,-0.06318666112390645,-0.032415536199422904,0.8884083738209914,-0.7867817874671347
75%,4346.25,132.21800000000002,-61.1298,1.0,14.0,14.0,0.6927418106466581,0.6934673098406794,0.6837655355628414,0.6957776658963323,0.3883314743706211,0.565029230622138,0.7045231032714848,0.6696687407651281,0.7098711773045207,0.7007747311507592,0.9827614275388237,-0.6315708238056982
max,5795.0,179.845,179.947,2.0,19.0,19.0,0.9999999148531648,0.999999186562252,0.9999998938328052,0.9999997375429188,0.9999995641272048,0.9999980300314149,0.9999998234034546,0.9999999427498352,0.999999982214826,0.9999987946738704,0.9999999713301728,0.9999927366277326
