,Label,Phi,Psi,SecStruc,Front,Back,N-CA-CB-OG--SIN,N-CA-CB-OG--COS
count,8165.0,8165.0,8165.0,8165.0,8165.0,8165.0,8165.0,8165.0
mean,4082.0,48.443778313202834,-86.93536632578066,0.8232700551132884,8.387997550520515,8.478750765462339,-0.004252415256783701,-0.01717675642826272
std,2357.1768071148163,94.67501305754709,43.82404500083862,0.6732062097702008,5.977018126414081,6.0469699497334926,0.7049310469504821,0.709141414437303
min,0.0,-179.984,-179.91,0.0,0.0,0.0,-0.9999999993552866,-0.9999999991989637
25%,2041.0,-34.1504,-116.389,0.0,3.0,3.0,-0.7034134857160557,-0.7235530750963646
50%,4082.0,13.202,-78.2652,1.0,8.0,9.0,-0.014096683341463247,-0.03595754119876442
75%,6123.0,145.39700000000005,-63.1509,1.0,14.0,14.0,0.7020119861412382,0.6927018611958988
max,8164.0,179.955,179.862,2.0,19.0,19.0,0.9999999990645024,0.999999971587732
