,Label,Phi,Psi,SecStruc,Front,Back,N-CA-CB-CG--SIN,CA-CB-CG-CD--SIN,CB-CG-CD-CE--SIN,CG-CD-CE-NZ--SIN,N-CA-CB-CG--COS,CA-CB-CG-CD--COS,CB-CG-CD-CE--COS,CG-CD-CE-NZ--COS
count,6731.0,6731.0,6731.0,6731.0,6731.0,6731.0,6731.0,6731.0,6731.0,6731.0,6731.0,6731.0,6731.0,6731.0
mean,3365.0,32.53908313498739,-78.39357378844154,0.6935076511662457,8.638092408260288,8.700341702570197,-0.4840847620521404,-0.06291275915551044,-0.011500616726635927,0.001183499672483908,-0.0945441879022737,-0.6598573929338878,-0.6427501059820715,-0.48709922196468924
std,1943.2166631644552,85.83372717097541,41.366864572008474,0.6634936445796729,6.1064406247416425,6.045648407554711,0.5658846950099455,0.5069426821891196,0.5268784176133553,0.5705196535302041,0.6607649294221474,0.5511103572350626,0.556081246669446,0.6613271546682977
min,0.0,-179.63,-178.891,0.0,0.0,0.0,-0.9999999017365144,-0.9999999372351044,-0.9999997754116772,-0.99999999505149,-1.0,-0.9999999993907652,-0.9999999998476912,-1.0
25%,1682.5,-40.5296,-101.6605,0.0,3.0,3.0,-0.9320818608835919,-0.30394159474380766,-0.25401116595259193,-0.2943072211216826,-0.9638935007442294,-0.9957295331806526,-0.9960495940236476,-0.9952732729708488
50%,3365.0,-14.0803,-71.8411,1.0,9.0,9.0,-0.8106031221440524,-0.02085517248010221,0.00012217304733569813,0.0013788096721959026,0.2432155030757357,-0.9719158386212892,-0.9706157699332311,-0.9526508679172978
75%,5047.5,130.1895,-60.7723,1.0,15.0,15.0,-0.07647539960099659,0.18416578945350032,0.22557172619196175,0.3065759065629614,0.4469606659056409,-0.6336494472482822,-0.3404201244213684,0.28124878093384365
max,6730.0,179.812,179.954,2.0,19.0,19.0,0.9999668970359944,0.9999996053970972,0.9999999999756306,0.999999999559828,0.9996660904382804,0.9994072882339268,0.9975606157575576,0.9998845652016459
