,N-CA-CB-CG--SIN,CA-CB-CG-SD--SIN,CB-CG-SD-CE--SIN,N-CA-CB-CG--COS,CA-CB-CG-SD--COS,CB-CG-SD-CE--COS
N-CA-CB-CG--SIN,1.0,0.34730479330538283,0.09102048058009896,-0.43506208182568346,-0.17350345898360514,-0.020090444583007485
CA-CB-CG-SD--SIN,0.34730479330538283,1.0,0.29340717274249273,-0.44296403459843187,-0.31060142788014294,-0.07533374647274549
CB-CG-SD-CE--SIN,0.09102048058009896,0.29340717274249273,1.0,-0.12808221297492423,-0.1600803030541445,-0.053563458268559794
N-CA-CB-CG--COS,-0.43506208182568346,-0.44296403459843187,-0.12808221297492423,1.0,0.027232398094870887,0.03463864923756913
CA-CB-CG-SD--COS,-0.17350345898360514,-0.31060142788014294,-0.1600803030541445,0.027232398094870887,1.0,-0.027021407622197288
CB-CG-SD-CE--COS,-0.020090444583007485,-0.07533374647274549,-0.053563458268559794,0.03463864923756913,-0.027021407622197288,1.0
