,SecStruc,"('SecStruc', 'Front')","('SecStruc', 'Back')","('SecStruc', 'Front', 'Back')"
count,3.0,60.0,60.0,1200.0
mean,62836.333333333336,3141.8166666666666,3141.8166666666666,157.09083333333334
std,38941.32079595315,2423.0447682348045,2488.837653227766,167.41690356404087
min,17891.0,245.0,235.0,1.0
25%,51016.0,1158.75,1077.5,48.0
50%,84141.0,2930.5,2675.0,95.0
75%,85309.0,4418.5,4503.25,212.5
max,86477.0,10417.0,9439.0,1365.0
