,SecStruc,"('SecStruc', 'Front')","('SecStruc', 'Back')","('SecStruc', 'Front', 'Back')"
count,3.0,60.0,60.0,1199.0
mean,70972.66666666667,3548.633333333333,3548.633333333333,177.57964970809007
std,55703.965301703014,3055.0371684424676,3129.256477274589,194.93383609223272
min,21363.0,267.0,233.0,3.0
25%,40842.5,1205.0,1207.25,47.5
50%,60322.0,2479.0,2542.0,105.0
75%,95777.5,5336.25,5134.25,236.0
max,131233.0,13096.0,13085.0,1264.0
