,N-CA-CB-CG--SIN,CA-CB-CG-CD--SIN,CB-CG-CD-OE1--SIN,CB-CG-CD-OE2--SIN,N-CA-CB-CG--COS,CA-CB-CG-CD--COS,CB-CG-CD-OE1--COS,CB-CG-CD-OE2--COS
N-CA-CB-CG--SIN,1.0,0.0038583573540419192,0.010886649640515568,-0.012336584916742362,-0.009045931112920055,-0.005914730758342134,-0.012389477719348004,-0.0003373381166496807
CA-CB-CG-CD--SIN,0.0038583573540419192,1.0,0.011898389025347698,0.004846139355967843,0.016099703068187275,-0.004488519103252959,-0.0029281863540901957,0.013449163650768033
CB-CG-CD-OE1--SIN,0.010886649640515568,0.011898389025347698,1.0,-0.29285033962234996,-0.00968369975315437,0.0038794653265017943,-0.015227788149873868,0.046737547476085405
CB-CG-CD-OE2--SIN,-0.012336584916742362,0.004846139355967843,-0.29285033962234996,1.0,0.010765386974952542,0.013378258928949857,-0.0197256427145492,-0.008125777790073202
N-CA-CB-CG--COS,-0.009045931112920055,0.016099703068187275,-0.00968369975315437,0.010765386974952542,1.0,0.0064778844928565504,0.00799256675729194,0.016124756582769465
CA-CB-CG-CD--COS,-0.005914730758342134,-0.004488519103252959,0.0038794653265017943,0.013378258928949857,0.0064778844928565504,1.0,0.0060228188057218045,0.02189417169495595
CB-CG-CD-OE1--COS,-0.012389477719348004,-0.0029281863540901957,-0.015227788149873868,-0.0197256427145492,0.00799256675729194,0.0060228188057218045,1.0,-0.30076609973128804
CB-CG-CD-OE2--COS,-0.0003373381166496807,0.013449163650768033,0.046737547476085405,-0.008125777790073202,0.016124756582769465,0.02189417169495595,-0.30076609973128804,1.0
