,N-CA-CB-CG--SIN,CA-CB-CG-OD1--SIN,CA-CB-CG-OD2--SIN,N-CA-CB-CG--COS,CA-CB-CG-OD1--COS,CA-CB-CG-OD2--COS
N-CA-CB-CG--SIN,1.0,0.22463898273349633,-0.22319274846456358,-0.16993688071642735,-0.06050250486966335,0.05898365603879087
CA-CB-CG-OD1--SIN,0.22463898273349633,1.0,-0.9992494716172073,-0.2727254871087057,-0.11858508461385266,0.11862982394150226
CA-CB-CG-OD2--SIN,-0.22319274846456358,-0.9992494716172073,1.0,0.2731842035762085,0.1177184675710342,-0.11754462480034089
N-CA-CB-CG--COS,-0.16993688071642735,-0.2727254871087057,0.2731842035762085,1.0,0.04027741214472004,-0.04039177249954094
CA-CB-CG-OD1--COS,-0.06050250486966335,-0.11858508461385266,0.1177184675710342,0.04027741214472004,1.0,-0.9994808845421769
CA-CB-CG-OD2--COS,0.05898365603879087,0.11862982394150226,-0.11754462480034089,-0.04039177249954094,-0.9994808845421769,1.0
