,Label,Phi,Psi,SecStruc,Front,Back,N-CA-CB-CG--SIN,CA-CB-CG-CD1--SIN,CA-CB-CG-CD2--SIN,N-CA-CB-CG--COS,CA-CB-CG-CD1--COS,CA-CB-CG-CD2--COS
count,381897.0,381897.0,381897.0,381897.0,381897.0,381897.0,381897.0,381897.0,381897.0,381897.0,381897.0,381897.0
mean,190948.0,31.100437519733966,-81.27492390034288,0.6205678494463167,8.75213211939345,8.81222685697976,-0.6045983975396204,0.32813649764867,-0.5332937420818926,-0.07895394240225317,-0.4230041084139655,-0.04820770638019999
std,110244.31221334224,83.99333800825511,49.91448859011283,0.5990876350327998,6.2020975365631905,6.200082471641605,0.45129005029856645,0.44424580375771294,0.4794331141110366,0.6515872836347145,0.7183602835983534,0.6952837971023367
min,0.0,-179.998,-179.94799999999995,0.0,0.0,0.0,-0.9999999999984768,-0.999999990733538,-0.9999999999939077,-1.0,-1.0,-1.0
25%,95474.0,-41.2045,-101.281,0.0,3.0,3.0,-0.935294032717268,0.03339938915402283,-0.9062303229767936,-0.9723739946397988,-0.9941320993871552,-0.9731105728103904
50%,190948.0,-19.8623,-72.5788,1.0,9.0,9.0,-0.860592731266111,0.21275753537679404,-0.813285631339535,0.27651468745827035,-0.9608323770421336,0.34142964956563043
75%,286422.0,126.943,-62.6498,1.0,15.0,15.0,-0.14746417046815471,0.8244907983082823,-0.120483369194255,0.4483832160900322,0.4171867146419201,0.5023621194281449
max,381896.0,179.99400000000003,10000.0,2.0,19.0,19.0,0.9999999432665292,0.9999999994501656,0.9999999575226242,0.9999994669627742,0.9999999989644524,0.9999999896330359
