,SecStruc,"('SecStruc', 'Front')","('SecStruc', 'Back')","('SecStruc', 'Front', 'Back')"
count,3.0,60.0,60.0,1200.0
mean,66566.33333333333,3328.3166666666666,3328.3166666666666,166.41583333333332
std,41250.66042299606,2658.977772815652,2630.0036765564732,181.9710484336146
min,18935.0,221.0,225.0,1.0
25%,54537.0,1142.25,1115.75,47.0
50%,90139.0,2928.5,2694.5,97.0
75%,90382.0,4595.5,4678.25,226.0
max,90625.0,11606.0,9803.0,1542.0
