,SecStruc,"('SecStruc', 'Front')","('SecStruc', 'Back')","('SecStruc', 'Front', 'Back')"
count,3.0,60.0,60.0,1193.0
mean,21348.333333333332,1067.4166666666667,1067.4166666666667,53.68398994132439
std,14011.833368026233,809.1509526190362,832.7098359596546,53.85784688710954
min,5315.0,75.0,53.0,1.0
25%,16400.5,301.75,325.5,14.0
50%,27486.0,952.5,864.0,35.0
75%,29365.0,1597.75,1705.0,77.0
max,31244.0,3005.0,3146.0,401.0
