,Label,Phi,Psi,SecStruc,Front,Back,N-CA-CB-CG1--SIN,N-CA-CB-CG2--SIN,CA-CB-CG-CD1--SIN,N-CA-CB-CG1--COS,N-CA-CB-CG2--COS,CA-CB-CG-CD1--COS
count,7721.0,7721.0,7721.0,7721.0,7721.0,7721.0,7721.0,7721.0,7721.0,7721.0,7721.0,7721.0
mean,3860.0,47.45421767585808,-89.312731653931,0.7208910762854552,8.952726330786168,8.989897681647456,0.0034159479499366093,0.01120773754302912,0.008090440143166677,-0.014986024860449509,-0.0431299587419644,-0.04406618355550494
std,2229.0050471006116,86.02839334066962,31.627871581002008,0.5974384297840173,6.07771075484228,6.0187015540119075,0.7059972126229059,0.6944293107235897,0.7025746542245672,0.7081392442194148,0.7182697279824267,0.7102892686464292
min,0.0,-179.89,-176.145,0.0,0.0,0.0,-0.9999999049918528,-0.9999996855493896,-0.9999999998864147,-0.9999999894466748,-0.999999918370765,-0.9999999733119771
25%,1930.0,-41.7721,-115.81,0.0,3.0,3.0,-0.6992949028540163,-0.6674588642340161,-0.6877637680689629,-0.7170326780588347,-0.7733004649013441,-0.7573206182029124
50%,3860.0,93.6785,-84.6084,1.0,9.0,9.0,0.008239488562407273,0.010811188355317358,0.020492865887438264,-0.036227979236719055,-0.08827721485853689,-0.08278513458727826
75%,5790.0,128.219,-63.7533,1.0,15.0,15.0,0.713411264489101,0.6923791829366921,0.7072466217918698,0.6990427430673798,0.6836264392273588,0.6688105758574263
max,7720.0,179.685,176.23,2.0,19.0,19.0,0.9999996444605244,0.9999999973616688,0.9999999998864147,0.9999999999945752,0.999999781128818,0.9999999999945752
