,Label,Phi,Psi,SecStruc,Front,Back,N-CA-CB-CG--SIN,CA-CB-CG-OD1--SIN,CA-CB-CG-OD2--SIN,N-CA-CB-CG--COS,CA-CB-CG-OD1--COS,CA-CB-CG-OD2--COS
count,221736.0,221736.0,221736.0,221736.0,221736.0,221736.0,221736.0,221736.0,221736.0,221736.0,221736.0,221736.0
mean,110867.5,29.946567162804328,-76.5502472675391,0.8271683443374103,8.240957715481473,8.14412634845041,-0.3810043698683336,-0.13829737111926144,0.13633622991157454,-0.05720314641959646,0.5758134069919608,-0.5767446346500019
std,64009.81398191999,83.40430233284934,74.4606366808651,0.728209265335006,6.065464258962516,6.084413825220009,0.6590425701978687,0.5566189277258293,0.5543215882239706,0.6459335889267016,0.582658609388836,0.5843873386386049
min,0.0,-179.997,-179.972,0.0,0.0,0.0,-0.9999999997806754,-0.9999999999939077,-0.9999999999253688,-1.0,-0.9999999961922824,-1.0
25%,55433.75,-37.739000000000004,-97.70079999999999,0.0,3.0,3.0,-0.9350164331167514,-0.5791826484630955,-0.2361810186180183,-0.9558776525898586,0.47239501831596575,-0.9660476846364716
50%,110867.5,3.323165,-75.26325,1.0,8.0,8.0,-0.7670839789417327,-0.21605535466037903,0.21028407022910606,0.28504268349052714,0.8351119788806378,-0.8409918008335401
75%,166301.25,112.644,-61.93165,1.0,14.0,14.0,-0.027398240287735288,0.2393770283584172,0.5718344950871139,0.4376851088268204,0.9639679514703211,-0.46906699202178226
max,221735.0,179.998,10000.0,2.0,19.0,19.0,0.9999999701474929,0.9999999995065196,0.9999999941452532,0.9999976782669,0.9999999999898612,0.9999999999561104
