,N-CA-CB-CG--SIN,CA-CB-CG-CD1--SIN,CA-CB-CG-CD2--SIN,CB-CG-CD2-CE2--SIN,CB-CG-CD2-CE3--SIN,CB-CG-CD1-NE1--SIN,CG-CD2-CE2-CZ2--SIN,CG-CD2-CE3-CZ3--SIN,CD2-CE3-CZ3-CH2--SIN,CE3-CZ3-CH2-CZ2--SIN,CD2-CE2-CZ2-CH2--SIN,N-CA-CB-CG--COS,CA-CB-CG-CD1--COS,CA-CB-CG-CD2--COS,CB-CG-CD2-CE2--COS,CB-CG-CD2-CE3--COS,CB-CG-CD1-NE1--COS,CG-CD2-CE2-CZ2--COS,CG-CD2-CE3-CZ3--COS,CD2-CE3-CZ3-CH2--COS,CE3-CZ3-CH2-CZ2--COS,CD2-CE2-CZ2-CH2--COS
CD2-CE2-CZ2-CH2--SIN,0.006691903586417229,0.015756957757523355,0.0032549227367990674,0.08800263749398075,-0.0325174722585686,-0.05965015953674779,-0.026631497043111726,-0.009922995256760396,-0.002539373821201151,0.1558343223343233,1.0,0.011403000287786598,0.015096895097140406,-0.036381683192485866,0.007633344551526284,0.01393270414817595,-0.002593064769787778,0.026795083082069293,0.018329060397533122,-0.0037712409022857564,-0.025864308095218117,-0.043076711557211676
N-CA-CB-CG--COS,-0.009025817375942775,-0.007378432193056977,0.02052496878317069,-0.015867106554092795,0.006555238785265081,0.019093997292916727,-0.0055028447581756176,0.007087944540030797,-0.013652511348650287,0.026395878380104827,0.011403000287786598,1.0,-0.008796907539634746,-0.009988741671521814,-0.007107757959846053,0.0009427649452150628,-0.014660098180994686,-0.006354475934332563,-0.004539050096434115,0.01531164658176661,0.015030608400717368,0.014521921506389191
CA-CB-CG-CD1--COS,-0.007144920071534374,-0.006148030309548803,0.036356240834070915,0.038885860907800864,-0.012423754911168117,-0.01055497764123949,0.0028525765346063955,0.010073327636144394,0.0008101302306274253,0.00863350715519255,0.015096895097140406,-0.008796907539634746,1.0,-0.04396764459916519,0.024104436094271726,-0.048943694318506675,0.0150694203030436,0.03197371766787097,-0.015076010571117852,0.05500588958148828,0.07887747258704685,0.015111978583458207
CA-CB-CG-CD2--COS,0.02360061341920304,0.006021683737047094,-0.025388873235404133,0.03999914645067877,0.028781210226018452,-0.04007231245006878,0.0005093112865513084,-0.014489760847154776,0.010434607243966741,-0.03842143348673098,-0.036381683192485866,-0.009988741671521814,-0.04396764459916519,1.0,0.020820470962223656,-0.030018374878243784,0.014394218534526299,0.01607630878828625,0.03954715154317121,0.03630711262271492,0.02091343584009814,-0.01407522277105062
CB-CG-CD2-CE2--COS,0.009318924109634308,-0.01939158975843504,0.009186401919261816,0.043978439005983326,-0.007573828985860474,-0.032223477653617494,0.049450705420736096,-0.004457914422130678,0.008112965367292101,-0.0036102504806956393,0.007633344551526284,-0.007107757959846053,0.024104436094271726,0.020820470962223656,1.0,-0.5008909349885393,0.9259588063742948,0.050670157975879954,0.056407718732845606,-0.02911577254134786,-0.002488921863759599,-0.06019257103386581
CB-CG-CD2-CE3--COS,-0.004959020612908881,0.010686985178889538,-0.022097717499371387,-0.04841722710561618,-0.010341636440527574,0.013958872065058933,-0.020530554538172593,0.02371213349582074,0.010048055912008467,-0.007967406627862203,0.01393270414817595,0.0009427649452150628,-0.048943694318506675,-0.030018374878243784,-0.5008909349885393,1.0,-0.5083007800082093,0.07483326141666768,0.05187352953541959,0.037002816225429024,0.054434877650550745,0.07490292206747806
CB-CG-CD1-NE1--COS,0.008961082141353952,-0.03739037499415537,0.0009172615791675498,0.050350363780377834,-0.00020569023357482337,-0.04622834752173864,0.04125470307617096,-0.005263708745382589,0.004090155853014646,-0.013364780973681321,-0.002593064769787778,-0.014660098180994686,0.0150694203030436,0.014394218534526299,0.9259588063742948,-0.5083007800082093,1.0,0.05874032447952377,0.056900953243817505,-0.04349502845201896,-0.027709113964521467,-0.0837880929002753
CG-CD2-CE2-CZ2--COS,-0.034014018698475514,0.004676721440907694,0.014709775922217215,0.020101386385420306,0.022840596511382698,0.0014495752592938948,0.014854554438097719,-0.010209586341349573,-0.03117412357507209,0.03743774483608796,0.026795083082069293,-0.006354475934332563,0.03197371766787097,0.01607630878828625,0.050670157975879954,0.07483326141666768,0.05874032447952377,1.0,0.44941064942767406,-0.04677216677711242,-0.04629920992177804,-0.15293538351509015
CG-CD2-CE3-CZ3--COS,0.004038907327198464,0.022294807628227796,0.022788544785894278,0.03280937985954299,-0.005265478480357815,-0.04955954337586569,0.019239374478329716,-0.033644392260814934,-0.02727332236479039,0.030957609419988884,0.018329060397533122,-0.004539050096434115,-0.015076010571117852,0.03954715154317121,0.056407718732845606,0.05187352953541959,0.056900953243817505,0.44941064942767406,1.0,-0.08852615706185636,-0.12665547013814912,-0.1758955171339388
CD2-CE3-CZ3-CH2--COS,-0.018413051065013987,-0.013958415428939532,0.010868137587041924,0.009880213713959021,0.03891442612916507,-0.01107795977354593,0.029249517532703675,-0.005936998307110826,-0.026138958480937904,0.012531878235335187,-0.0037712409022857564,0.01531164658176661,0.05500588958148828,0.03630711262271492,-0.02911577254134786,0.037002816225429024,-0.04349502845201896,-0.04677216677711242,-0.08852615706185636,1.0,0.6610047125589816,0.4398256542208431
CE3-CZ3-CH2-CZ2--COS,-0.02805642184366956,-0.021454722956208355,-0.015520155042851817,0.036461541398668654,0.028408837667137934,-0.03035883237996579,0.02920523677893592,-0.013366394840642745,-0.007564075571224523,-0.01209188927925613,-0.025864308095218117,0.015030608400717368,0.07887747258704685,0.02091343584009814,-0.002488921863759599,0.054434877650550745,-0.027709113964521467,-0.04629920992177804,-0.12665547013814912,0.6610047125589816,1.0,0.43121592650314733
CD2-CE2-CZ2-CH2--COS,-0.021273861488324365,-0.006928775072784164,0.033306821756144044,-0.012369342208545636,0.02731850231043954,-0.002961209803823743,0.031872967112911585,-0.05066656641026152,-0.025710180703108532,-0.04901172093528412,-0.043076711557211676,0.014521921506389191,0.015111978583458207,-0.01407522277105062,-0.06019257103386581,0.07490292206747806,-0.0837880929002753,-0.15293538351509015,-0.1758955171339388,0.4398256542208431,0.43121592650314733,1.0
