,SecStruc,"('SecStruc', 'Front')","('SecStruc', 'Back')","('SecStruc', 'Front', 'Back')"
count,3.0,60.0,60.0,1200.0
mean,73912.0,3695.6,3695.6,184.78
std,28026.507078121598,2187.746183338429,2274.8135792497333,157.91486901137293
min,42942.0,568.0,614.0,6.0
25%,62103.5,2065.75,2022.0,73.0
50%,81265.0,3268.0,3280.0,139.0
75%,89397.0,5081.25,4619.25,244.0
max,97529.0,9415.0,10088.0,1077.0
