,SecStruc,"('SecStruc', 'Front')","('SecStruc', 'Back')","('SecStruc', 'Front', 'Back')"
count,3.0,60.0,60.0,1199.0
mean,127299.0,6364.95,6364.95,318.5129274395329
std,90464.67173432953,5083.898178796747,5269.507465566494,333.7315826230526
min,23571.0,290.0,265.0,3.0
25%,96023.0,1515.5,1603.75,70.0
50%,168475.0,6397.0,5586.0,182.0
75%,179163.0,9983.75,10518.0,485.0
max,189851.0,18242.0,19599.0,2561.0
