,SecStruc,"('SecStruc', 'Front')","('SecStruc', 'Back')","('SecStruc', 'Front', 'Back')"
count,3.0,60.0,60.0,1200.0
mean,53880.666666666664,2694.0333333333333,2694.0333333333333,134.70166666666665
std,16391.307737131076,1448.4144337003179,1475.2184551433324,105.03615961298324
min,40528.0,518.0,573.0,4.0
25%,44734.0,1736.75,1609.5,55.0
50%,48940.0,2503.0,2547.0,109.0
75%,60557.0,3404.0,3497.0,183.0
max,72174.0,6425.0,7097.0,633.0
