,N-CA-CB-OG1--SIN,N-CA-CB-CG2--SIN,N-CA-CB-OG1--COS,N-CA-CB-CG2--COS
N-CA-CB-OG1--SIN,1.0,-0.7309339637793911,0.0023949373312620007,0.9501313309708999
N-CA-CB-CG2--SIN,-0.7309339637793911,1.0,-0.6819056310498699,-0.4833637634520291
N-CA-CB-OG1--COS,0.0023949373312620007,-0.6819056310498699,1.0,-0.3069576207533409
N-CA-CB-CG2--COS,0.9501313309708999,-0.4833637634520291,-0.3069576207533409,1.0
