,Label,Phi,Psi,SecStruc,Front,Back,N-CA-CB-CG--SIN,CA-CB-CG-CD--SIN,CB-CG-CD-OE1--SIN,CB-CG-CD-NE2--SIN,N-CA-CB-CG--COS,CA-CB-CG-CD--COS,CB-CG-CD-OE1--COS,CB-CG-CD-NE2--COS
count,134956.0,134956.0,134956.0,134956.0,134956.0,134956.0,134956.0,134956.0,134956.0,134956.0,134956.0,134956.0,134956.0,134956.0
mean,67477.5,26.660647192523,-79.42117924872596,0.6454844541924776,8.56742197456949,8.374729541480185,-0.5031909755026901,-0.035613986249539736,-0.01688863031995799,0.016476626953962365,-0.03887722608422904,-0.4710617569727339,0.3571411082556869,-0.35623555016957925
std,38958.58580167749,83.0239205671012,47.09870456866339,0.6450683760531826,6.139099651660463,6.165953130874361,0.5639909619560171,0.5853116931522157,0.7007522175527808,0.6997896327707931,0.6536108328239626,0.6589752978631074,0.6173473861533672,0.6189714783013044
min,0.0,-179.97799999999995,-179.88299999999995,0.0,0.0,0.0,-0.999999999122702,-0.9999999992628258,-0.9999999987190836,-0.9999999996100896,-1.0,-1.0,-0.9999999986292216,-0.9999999993907652
25%,33738.75,-40.67035,-100.556,0.0,3.0,3.0,-0.9290134600091239,-0.3845410329042578,-0.7235712850761626,-0.704364799662553,-0.9563787165382021,-0.9936820241422636,0.05306579720429406,-0.8453550824259352
50%,67477.5,-20.6246,-71.03540000000001,1.0,8.0,8.0,-0.8354670308768676,0.002373645553777177,-0.04550247029120018,0.044670794869278996,0.3030643765889274,-0.9548489903769009,0.5709507344196492,-0.5711004617504809
75%,101216.25,126.19224999999999,-61.91965,1.0,14.0,14.0,-0.0989984551357899,0.25282931742565257,0.7065802270748256,0.7212889340167672,0.45823734560980717,0.29226863815834014,0.8414980525904023,-0.04690116530097608
max,134955.0,179.995,10000.0,2.0,19.0,19.0,0.9999999657305404,0.9999999999619228,0.9999999980260792,0.9999999999619228,0.999999586785968,0.9999955500419068,0.9999999995027072,0.999999999955855
