,N-CA-CB-CG--SIN,CA-CB-CG-CD--SIN,CB-CG-CD-CE--SIN,CG-CD-CE-NZ--SIN,N-CA-CB-CG--COS,CA-CB-CG-CD--COS,CB-CG-CD-CE--COS,CG-CD-CE-NZ--COS
N-CA-CB-CG--SIN,1.0,0.21585036071989067,0.0400205097534585,0.0136880768976744,-0.45397849858797656,-0.11913060802210391,0.04021231178826136,0.013160905699691122
CA-CB-CG-CD--SIN,0.21585036071989067,1.0,0.1834745814697781,0.037406946002752774,-0.345640028397487,-0.19900874045164893,0.017750062298217274,-0.0037254836058551646
CB-CG-CD-CE--SIN,0.0400205097534585,0.1834745814697781,1.0,0.17694588692260454,-0.05332088238447788,-0.03561810391222897,-0.01624220736176633,0.008676193237946448
CG-CD-CE-NZ--SIN,0.0136880768976744,0.037406946002752774,0.17694588692260454,1.0,-0.02211361375188589,-0.010114688747603651,0.005763202660434628,-0.01645304402870713
N-CA-CB-CG--COS,-0.45397849858797656,-0.345640028397487,-0.05332088238447788,-0.02211361375188589,1.0,0.05686856924292344,-0.012053052101923725,-0.016485904450376353
CA-CB-CG-CD--COS,-0.11913060802210391,-0.19900874045164893,-0.03561810391222897,-0.010114688747603651,0.05686856924292344,1.0,-0.07665038488913492,0.05614581394410434
CB-CG-CD-CE--COS,0.04021231178826136,0.017750062298217274,-0.01624220736176633,0.005763202660434628,-0.012053052101923725,-0.07665038488913492,1.0,-0.062195810481275336
CG-CD-CE-NZ--COS,0.013160905699691122,-0.0037254836058551646,0.008676193237946448,-0.01645304402870713,-0.016485904450376353,0.05614581394410434,-0.062195810481275336,1.0
