,Label,Phi,Psi,SecStruc,Front,Back,N-CA-CB-CG--SIN,CA-CB-CG-CD1--SIN,CA-CB-CG-CD2--SIN,CB-CG-CD1-CE1--SIN,CB-CG-CD2-CE2--SIN,CG-CD1-CE1-CZ--SIN,CD1-CE1-CZ-CE2--SIN,CZ-CD1-CE1-CZ--SIN,N-CA-CB-CG--COS,CA-CB-CG-CD1--COS,CA-CB-CG-CD2--COS,CB-CG-CD1-CE1--COS,CB-CG-CD2-CE2--COS,CG-CD1-CE1-CZ--COS,CD1-CE1-CZ-CE2--COS,CZ-CD1-CE1-CZ--COS
count,163973.0,163973.0,163973.0,163973.0,163973.0,163973.0,163973.0,163973.0,163973.0,163973.0,163973.0,163973.0,163973.0,163973.0,163973.0,163973.0,163973.0,163973.0,163973.0,163973.0,163973.0,163973.0
mean,81986.0,51.11388177669648,-90.18599055981649,0.7722612869191879,8.80703530459283,8.772444243869417,-0.4001875344536754,0.1752361425935141,-0.17549951516866094,-0.0008857569374471711,0.0009669425264640149,-0.00011229081514259956,7.909826760557459e-05,-0.00011229081514259956,-0.08622248187845906,0.17413565990638893,-0.1694502708441672,-0.9994251718510586,-0.999419247332199,0.9998122757509819,0.9998464087371115,0.9998122757509819
std,47335.0721822625,88.08434299707753,58.37842168146401,0.6227271420839582,6.195086575315614,6.097483103546147,0.6174572587359125,0.8998116996409435,0.8989858629817614,0.0338526530207044,0.03402762811620168,0.019360606788706103,0.017512340900977058,0.019360606788706103,0.671689832506542,0.3596021382945405,0.3637535975059851,0.0015956795234278204,0.0015364519887734384,0.000754879194562993,0.0006873633080378547,0.000754879194562993
min,0.0,-179.995,-179.982,0.0,0.0,0.0,-0.9999999996100896,-0.9999999999451687,-0.9999999999984768,-0.5931519410894172,-0.4551719758119362,-0.2609257507372589,-0.2836505107183052,-0.2609257507372589,-1.0,-0.9999998134218362,-0.9999999993907652,-1.0,-1.0,0.9031982469440076,0.9227911392370054,0.9031982469440076
25%,40993.0,-39.7034,-118.779,0.0,3.0,3.0,-0.92181309457055,-0.9449123556723464,-0.9841677794213672,-0.01762691251357167,-0.016440260878778444,-0.005348134571638646,-0.004116120525077471,-0.005348134571638646,-0.98176678999775,-0.0031328608825644164,-0.3613316540809866,-0.999974146621748,-0.9999731328638828,0.9998854373312857,0.9999291644245104,0.9998854373312857
50%,81986.0,44.3677,-87.3495,1.0,9.0,9.0,-0.7846130037917629,0.8478334536468705,-0.8431381557025804,-0.00040142571717775036,0.0005410520417203743,4.196713998358542e-05,-3.9350367838234e-05,4.196713998358542e-05,0.274041466897262,0.16265266400138706,-0.15171799458570198,-0.999856400540588,-0.9998531286509804,0.99998617878784,0.9999914382689014,0.99998617878784
75%,122979.0,138.195,-63.8052,1.0,15.0,15.0,0.028741614161328494,0.9830903893731522,0.9473947804538057,0.016265751292229038,0.01790612111657259,0.005159187834708109,0.004158880725739332,0.005159187834708109,0.4594713508551837,0.36613257607522975,0.013944728745776536,-0.9994391663152316,-0.9994309541579319,0.999998641134774,0.9999988378015152,0.999998641134774
max,163972.0,179.99900000000005,10000.0,2.0,19.0,19.0,0.9999999871085908,0.9999999999939077,1.0,0.523792641772977,0.5590337293782589,0.42922363252420215,0.3853005493710978,0.42922363252420215,0.9999957640084792,0.9999999761800552,0.9999999760705984,-0.805090538251355,-0.8291449146062679,1.0,1.0,1.0
