,Label,Phi,Psi,SecStruc,Front,Back,N-CA-CB-CG--SIN,CA-CB-CG-CD--SIN,CB-CG-CD-OE1--SIN,CB-CG-CD-OE2--SIN,N-CA-CB-CG--COS,CA-CB-CG-CD--COS,CB-CG-CD-OE1--COS,CB-CG-CD-OE2--COS
count,241025.0,241025.0,241025.0,241025.0,241025.0,241025.0,241025.0,241025.0,241025.0,241025.0,241025.0,241025.0,241025.0,241025.0
mean,120512.0,19.70936180740623,-76.47950846481694,0.5681568302043356,8.540047712892854,8.572637693185355,-0.4677767091838548,-0.024535521204398468,-0.03437814254455202,0.033730702323466255,-0.07341651409854516,-0.5183302965534718,0.4635414674215204,-0.4645796288268318
std,69578.06865313236,81.37809367200302,70.59209180813546,0.6287876588385278,6.188080723649258,6.267694861594991,0.5801878105602979,0.5791075877989009,0.6197735118809546,0.6175391430035603,0.6627067896330125,0.6287838622353763,0.6323223053449285,0.6337796650364235
min,0.0,-179.988,-179.965,0.0,0.0,0.0,-0.9999999999862922,-0.9999999999253688,-0.9999999980260792,-0.9999999987190836,-1.0,-1.0,-1.0,-1.0
25%,60256.0,-41.4465,-91.532,0.0,3.0,3.0,-0.9283963539881884,-0.31644385459542124,-0.6023278475304765,-0.5071924419640039,-0.9642620677478954,-0.9940753239360046,0.30939542863904784,-0.9399907318200802
50%,120512.0,-27.9949,-68.4791,0.0,8.0,8.0,-0.8128029678419191,0.003368479086156457,-0.0504318775238763,0.04905895819091748,0.2772576390314229,-0.9604201889480896,0.7107847418528916,-0.7160095908078463
75%,180768.0,122.143,-61.0942,1.0,15.0,15.0,-0.06155373311320483,0.25404492753045993,0.5123696463872899,0.5954960154865635,0.44822876468659895,0.18008824727152614,0.9372777308110068,-0.30645962482909384
max,241024.0,179.998,10000.0,2.0,19.0,19.0,0.9999999964908072,0.9999999996100896,0.9999999995065196,0.999999999559828,0.9999997276559254,0.9999809968222068,0.9999999998170309,0.9999999998030136
