,Label,Phi,Psi,SecStruc,Front,Back,N-CA-CB-SG--SIN,N-CA-CB-SG--COS
count,1452.0,1452.0,1452.0,1452.0,1452.0,1452.0,1452.0,1452.0
mean,725.5,44.90595508126717,-89.65215227272729,0.8078512396694215,8.074380165289256,8.550964187327823,0.048005589207528884,-0.013527964493398771
std,419.3006081560102,91.28202644490626,44.13127561824719,0.6792131174400757,5.980554691592068,5.9374890126569735,0.6989420362497323,0.7139187300080828
min,0.0,-179.94299999999996,-178.335,0.0,0.0,0.0,-0.9999984418685458,-0.99999991568729
25%,362.75,-38.674924999999995,-120.62125,0.0,3.0,3.0,-0.6337239366380621,-0.7399670934528755
50%,725.5,23.91115,-81.9349,1.0,8.0,9.0,0.08373429773796034,0.003331627528842994
75%,1088.25,134.72549999999998,-63.560624999999995,1.0,13.0,14.0,0.7349489114941762,0.6847391680146535
max,1451.0,179.601,179.22099999999998,2.0,19.0,19.0,0.9999929940291868,0.9999857052134468
