,Label,Phi,Psi,SecStruc,Front,Back,N-CA-CB-CG--SIN,CA-CB-CG-CD1--SIN,CA-CB-CG-CD2--SIN,CB-CG-CD2-CE2--SIN,CB-CG-CD2-CE3--SIN,CB-CG-CD1-NE1--SIN,CG-CD2-CE2-CZ2--SIN,CG-CD2-CE3-CZ3--SIN,CD2-CE3-CZ3-CH2--SIN,CE3-CZ3-CH2-CZ2--SIN,CD2-CE2-CZ2-CH2--SIN,N-CA-CB-CG--COS,CA-CB-CG-CD1--COS,CA-CB-CG-CD2--COS,CB-CG-CD2-CE2--COS,CB-CG-CD2-CE3--COS,CB-CG-CD1-NE1--COS,CG-CD2-CE2-CZ2--COS,CG-CD2-CE3-CZ3--COS,CD2-CE3-CZ3-CH2--COS,CE3-CZ3-CH2-CZ2--COS,CD2-CE2-CZ2-CH2--COS
count,1843.0,1843.0,1843.0,1843.0,1843.0,1843.0,1843.0,1843.0,1843.0,1843.0,1843.0,1843.0,1843.0,1843.0,1843.0,1843.0,1843.0,1843.0,1843.0,1843.0,1843.0,1843.0,1843.0,1843.0,1843.0,1843.0,1843.0,1843.0
mean,921.0,46.35622992159525,-84.36198182854048,0.7249050461204558,9.218122626153011,8.96581660336408,0.004005844618158206,-0.0447196621757518,-0.025583295808729808,0.023149691662279148,-0.026706833593819448,-0.038415328115723346,0.021376899680237156,-0.03600795907887301,-0.0045732135021947515,0.01765183803040893,0.018642325835305062,-0.03995665077877869,0.001619216366268676,0.006717928933933419,-0.5287015980221043,0.19211821053475808,-0.5318408779287541,-0.7647047642973157,-0.7619055583487729,0.8035444995904398,0.8129107229103746,0.8060839340115127
std,532.1725910516875,89.22788247684673,39.41238823634588,0.6438242734666161,6.064094622962832,6.014497796020411,0.7002835835102881,0.7103913679694503,0.7071136199647318,0.612332870918213,0.7007999103611448,0.6058755287537755,0.6076926364658569,0.5953164170093777,0.4320380813564618,0.4333092953869931,0.42569134905824885,0.7131145312272569,0.7027684080232177,0.7069888267914343,0.5876887045232241,0.6868619127054187,0.5907392955544007,0.21378607237447783,0.2530390253044478,0.4096715292667621,0.38896219518980757,0.41092332215532396
min,0.0,-179.18,-179.919,0.0,0.0,0.0,-0.999999049477172,-0.9999998546303692,-0.9999996319627922,-0.9999992795447872,-0.9999997214981704,-0.9999919396085364,-0.998751013576392,-0.9998003079764528,-0.999966818863375,-0.999998391368648,-0.999902788563826,-0.9999999760752292,-0.9999999836537794,-0.9999930944173984,-0.9999999760752292,-0.9999999912015126,-0.9999996948206262,-0.9999996948206262,-0.999998413566412,-0.9997907557865238,-0.9995006777023684,-0.9999856494540436
25%,460.5,-40.1824,-110.604,0.0,3.0,3.0,-0.6824415437811919,-0.7479352666723891,-0.7403752489550062,-0.5307623668901406,-0.7356017712769415,-0.5981725481019032,-0.6128945621510197,-0.6274066585127915,-0.18544252165605518,-0.16079245217874777,-0.15730096659052167,-0.7741993585988438,-0.7080069474753011,-0.688611980986245,-0.9389536407105686,-0.4271772658972659,-0.941413156166615,-0.8956080800391216,-0.9125913061424656,0.8531728444123368,0.8540491197601507,0.8621366429692787
50%,921.0,18.9623,-77.2288,1.0,9.0,9.0,0.02917787165578961,-0.10751949141976327,-0.05571401211678827,0.009218614806097385,-0.02461486007716681,-0.046764193133482616,0.06274002083988403,-0.11496398616797986,-0.00016023199931435944,0.007283825592308547,0.005769847985378656,-0.07613322645286587,0.02092703441059506,-0.0038685784289641608,-0.7876682384910274,0.35085718830487495,-0.7861641629267664,-0.7730134017549066,-0.7910830948737055,0.9840270372835171,0.9837782814589848,0.9846437264532258
75%,1381.5,137.2905,-62.11985,1.0,15.0,15.0,0.6889313699558383,0.6708379471512601,0.6773569655387156,0.5877672108293488,0.6572043637158527,0.5192725727952785,0.6420879774827609,0.5799918258748848,0.16693280388007942,0.19744751462601678,0.18543442753916506,0.666358914593991,0.7079285561545241,0.7108980420087934,-0.37186275385976053,0.8504937635929721,-0.4095993592744611,-0.6691597245008489,-0.6802308040160459,0.9980296880754068,0.9977989661022999,0.9979436006868929
max,1842.0,179.618,171.343,2.0,19.0,19.0,0.9999976593160824,0.9999999789218222,0.999992517022472,0.9999999998864147,0.9999924482415264,0.9998872759216146,0.9997997051295772,0.9983767983212782,0.9999936762765288,0.9999920252977648,0.9999999015770452,0.9999994971462388,0.9999999993845168,0.9999994642994382,0.999966473593937,0.9999952895489868,0.9999976050137253,0.9978103341199966,0.999974162118894,0.9999999871628532,0.9999999188732616,0.9999999941106196
