,SecStruc,"('SecStruc', 'Front')","('SecStruc', 'Back')","('SecStruc', 'Front', 'Back')"
count,3.0,60.0,60.0,1199.0
mean,44985.333333333336,2249.266666666667,2249.266666666667,112.55713094245205
std,28022.693737992668,1664.6542763850414,1763.9853843380315,114.94641212267202
min,12637.0,165.0,172.0,1.0
25%,36559.0,780.75,795.0,33.0
50%,60481.0,2305.0,2057.0,71.0
75%,61159.5,3133.0,3287.0,156.5
max,61838.0,7090.0,7241.0,901.0
