,SecStruc,"('SecStruc', 'Front')","('SecStruc', 'Back')","('SecStruc', 'Front', 'Back')"
count,3.0,60.0,60.0,1200.0
mean,80341.66666666667,4017.0833333333335,4017.0833333333335,200.85416666666666
std,54970.694250057764,3274.8546159562134,3396.8318304654526,223.17633752408528
min,18079.0,229.0,261.0,3.0
25%,59430.5,1213.0,1098.5,52.75
50%,100782.0,3596.0,3294.5,109.5
75%,111473.0,6308.5,5600.75,287.0
max,122164.0,13761.0,13518.0,1666.0
