,SecStruc,"('SecStruc', 'Front')","('SecStruc', 'Back')","('SecStruc', 'Front', 'Back')"
count,3.0,60.0,60.0,1195.0
mean,16820.0,841.0,841.0,42.22594142259414
std,10266.395716121602,593.2711387450064,595.9868329793417,38.7562389835149
min,7044.0,84.0,74.0,1.0
25%,11472.5,376.75,370.5,15.0
50%,15901.0,648.0,697.0,29.0
75%,21708.0,1140.5,1195.0,57.5
max,27515.0,2300.0,2585.0,255.0
