,SecStruc,"('SecStruc', 'Front')","('SecStruc', 'Back')","('SecStruc', 'Front', 'Back')"
count,3.0,60.0,60.0,1200.0
mean,54657.666666666664,2732.883333333333,2732.883333333333,136.64416666666668
std,37254.03543689372,2078.4708858789263,2129.3416273156377,133.6780113740089
min,17374.0,189.0,192.0,1.0
25%,36045.5,975.0,936.75,39.0
50%,54717.0,2151.0,2325.5,84.0
75%,73299.5,4432.75,3964.5,198.25
max,91882.0,7782.0,7542.0,767.0
