,Label,Phi,Psi,SecStruc,Front,Back,N-CA-CB-CG--SIN,CA-CB-CG-ND1--SIN,CA-CB-CG-CD2--SIN,CB-CG-ND1-CE1--SIN,CB-CG-CD2-NE2--SIN,CG-ND1-CE1-NE2--SIN,ND1-CE1-NE2-CD2--SIN,N-CA-CB-CG--COS,CA-CB-CG-ND1--COS,CA-CB-CG-CD2--COS,CB-CG-ND1-CE1--COS,CB-CG-CD2-NE2--COS,CG-ND1-CE1-NE2--COS,ND1-CE1-NE2-CD2--COS
count,91609.0,91609.0,91609.0,91609.0,91609.0,91609.0,91609.0,91609.0,91609.0,91609.0,91609.0,91609.0,91609.0,91609.0,91609.0,91609.0,91609.0,91609.0,91609.0,91609.0
mean,45804.0,45.68803584200747,-85.34377668660233,0.8234125468021701,8.591142791647108,8.330840856247749,-0.40043303728022184,-0.092276614523347,0.09284811616511254,0.0010082528616885327,-0.0011283376803968717,2.7333647075221737e-05,-2.6090147373543168e-05,-0.05031779795989672,0.03127602985677145,-0.02064129902647924,-0.9994062531294894,-0.9992418225514751,0.9998654668297402,0.9998943329043275
std,26445.384742269616,84.63624636681239,65.76060204844165,0.6758198232642542,6.1845765877252035,6.082386439772949,0.6209400019812811,0.8692937981283965,0.8684629523474091,0.03439121211039173,0.03885777381679882,0.01638930076956513,0.014523444413732087,0.6719852333834598,0.4846090603291684,0.4865553224663624,0.0018390511819499605,0.002144029985224418,0.0006642676053646464,0.0006278648728744814
min,0.0,-179.991,-179.882,0.0,0.0,0.0,-0.9999999995065196,-0.9999999997806754,-0.9999999999862922,-0.5717593224665097,-0.5325365494376093,-0.31749995584234736,-0.3207981421652126,-1.0,-1.0,-0.9999999945168864,-1.0,-1.0,0.9298323725432098,0.946455039901742
25%,22902.0,-36.5281,-116.61,0.0,3.0,3.0,-0.9146255073872548,-0.9562521811673972,-0.9287513343872644,-0.01548045209790084,-0.020226986528803927,-0.004668459538436708,-0.003035786131348359,-0.9718418599651379,-0.221599556016544,-0.35634664937937943,-0.999976115652427,-0.9999659243181712,0.9999213500760208,0.9999555365958672
50%,45804.0,22.3404,-82.5293,1.0,8.0,8.0,-0.769295862917297,-0.4451353696314683,0.4400802262695396,0.0006632250671357039,-0.0006806783557157985,6.0344933384004686e-05,-1.5767252101985907e-05,0.3069729375084204,0.1300762753896691,-0.11036054814467493,-0.9998654230425394,-0.9998143694508436,0.999988627889293,0.9999956358486256
75%,68706.0,133.578,-63.3027,1.0,15.0,14.0,-0.007888806392357953,0.9285571072752116,0.9583225744651332,0.017382603857613598,0.01830748103147384,0.004869484275341755,0.0028679560018758468,0.4780895242183869,0.36626575166567105,0.241945604324644,-0.9994657289789036,-0.9992808952875972,0.9999986116950632,0.9999995387801952
max,91608.0,179.99,10000.0,2.0,19.0,19.0,0.9999999730581124,0.9999999999756306,0.9999999999862922,0.4349168023253455,0.5079894413412569,0.3679833677908085,0.32283565082653404,0.9997833399806786,0.9999996089876084,0.9999999913371012,-0.8204214021907509,-0.8464070081899634,1.0,0.9999999999983707
