,N-CA-CB-CG1--SIN,N-CA-CB-CG2--SIN,CA-CB-CG-CD1--SIN,N-CA-CB-CG1--COS,N-CA-CB-CG2--COS,CA-CB-CG-CD1--COS
N-CA-CB-CG1--SIN,1.0,-0.5933854657575172,0.16108873786849845,-0.15592010491695868,0.9147143903244213,-0.08678587403420125
N-CA-CB-CG2--SIN,-0.5933854657575172,1.0,0.10682097356539955,-0.6993152758681078,-0.21967428512611223,0.12364487889208287
CA-CB-CG-CD1--SIN,0.16108873786849845,0.10682097356539955,1.0,-0.28743824692206066,0.25286736801456045,-0.3750712237070479
N-CA-CB-CG1--COS,-0.15592010491695868,-0.6993152758681078,-0.28743824692206066,1.0,-0.5402639337496586,-0.06577450587069836
N-CA-CB-CG2--COS,0.9147143903244213,-0.21967428512611223,0.25286736801456045,-0.5402639337496586,1.0,-0.047272579188813085
CA-CB-CG-CD1--COS,-0.08678587403420125,0.12364487889208287,-0.3750712237070479,-0.06577450587069836,-0.047272579188813085,1.0
