,Label,Phi,Psi,SecStruc,Front,Back,N-CA-CB-CG--SIN,CA-CB-CG-SD--SIN,CB-CG-SD-CE--SIN,N-CA-CB-CG--COS,CA-CB-CG-SD--COS,CB-CG-SD-CE--COS
count,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0
mean,1401.0,31.619286447520373,-81.76146044238313,0.6946129147342134,8.655726007848733,8.625401355690332,0.002742691517512655,-0.0028050889985544785,0.006077236687157054,0.0028962945662278847,-0.027256145203145257,-0.024158928397147967
std,809.300726965364,85.4978098607281,37.93463633349339,0.6551254722362463,6.144778822708349,6.0971984130447385,0.6971308329910004,0.6963234869182483,0.7085512863331815,0.7171816876308863,0.7174534518616901,0.7054722917775369
min,0.0,-179.97799999999995,-179.046,0.0,0.0,0.0,-0.9999974035723364,-0.9999999435827104,-0.9999999487958564,-0.9999979374540684,-0.9999999894466748,-0.9999997240679024
25%,700.5,-40.6147,-104.4155,0.0,3.0,3.0,-0.6838596249401105,-0.7059194674576497,-0.6894023835516953,-0.7193913783951577,-0.7487102234273393,-0.7303090577432303
50%,1401.0,-14.8431,-72.9644,1.0,9.0,9.0,-0.005946893151066041,-0.0020350837218619487,0.011403805375556778,0.005328536962495765,-0.05417384601533641,-0.07394511302460446
75%,2101.5,130.038,-62.13445,1.0,15.0,14.0,0.6877456998766567,0.6715816735732902,0.7219079014353049,0.7383277680133034,0.7004117944507752,0.6791494696995759
max,2802.0,179.882,176.334,2.0,19.0,19.0,0.9999987697659722,0.9999992716153538,0.9999989917817804,0.999999982214826,0.99999873887906,0.9999991432683472
